Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,Matches,Player_ID,stat_type
76,Agustín Baldi,ar ARG,DF,Belgrano,21,2002,9,7,522,5.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,c0bb4690,standard
87,Juan Barinaga,ar ARG,MF,Belgrano,23,2000,9,8,676,7.5,1,0,1,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,Matches,6bdb7078,standard
113,Lucas Bernabéu,ar ARG,DF,Belgrano,20,2004,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,cd168c36,standard
159,Lucas Bustos,ar ARG,MF,Belgrano,18,2005,1,1,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,7da68c63,standard
227,Pablo Chavarría,ar ARG,FW,Belgrano,36,1988,19,7,604,6.7,2,0,2,2,0,0,6,1,0.3,0.0,0.3,0.3,0.3,Matches,4207e578,standard
230,Ignacio Chicco,ar ARG,GK,Belgrano,27,1996,8,7,656,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,3723f64a,standard
237,Gabriel Compagnucci,ar ARG,"MF,DF",Belgrano,32,1991,18,16,1406,15.6,0,3,3,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19,Matches,9d3e62ff,standard
301,Juan Espínola,py PAR,GK,Belgrano,29,1994,15,15,1324,14.7,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,Matches,93649708,standard
309,Francisco Facello,ar ARG,DF,Belgrano,21,2003,7,5,431,4.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,982c96ca,standard
325,Nicolás Fernández,ar ARG,"FW,MF",Belgrano,27,1996,16,14,1098,12.2,5,3,8,5,0,0,2,0,0.41,0.25,0.66,0.41,0.66,Matches,31d73bbd,standard
414,Francisco González,ar ARG,MF,Belgrano,26,1997,25,23,1964,21.8,0,4,4,0,0,0,3,0,0.0,0.18,0.18,0.0,0.18,Matches,d454a739,standard
433,Gerónimo Heredia,ar ARG,MF,Belgrano,18,2005,23,5,673,7.5,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13,Matches,5e045116,standard
435,Ramiro Hernandes,ar ARG,MF,Belgrano,19,2004,5,1,164,1.8,1,0,1,1,0,0,0,0,0.55,0.0,0.55,0.55,0.55,Matches,bd04e8dc,standard
470,Franco Jara,ar ARG,FW,Belgrano,35,1988,21,18,1605,17.8,13,1,14,13,0,1,7,0,0.73,0.06,0.79,0.73,0.79,Matches,413cce14,standard
490,Anibal Leguizamón,ar ARG,DF,Belgrano,32,1992,14,14,1228,13.6,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,Matches,c3f9ebff,standard
494,Facundo Lencioni,ar ARG,"MF,DF",Belgrano,22,2001,9,4,309,3.4,0,1,1,0,0,0,1,0,0.0,0.29,0.29,0.0,0.29,Matches,afc6d172,standard
506,Santiago Longo,ar ARG,MF,Belgrano,25,1998,9,7,603,6.7,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches,9a102b86,standard
513,Nahuel Losada,ar ARG,GK,Belgrano,30,1993,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f07d5b4d,standard
519,Jeremías Lucco,ar ARG,FW,Belgrano,18,2005,8,2,284,3.2,1,0,1,1,0,0,1,0,0.32,0.0,0.32,0.32,0.32,Matches,50845a91,standard
548,Rafael Marcelo Delgado,ar ARG,DF,Belgrano,34,1990,18,13,1320,14.7,0,1,1,0,0,0,6,0,0.0,0.07,0.07,0.0,0.07,Matches,14cc32a6,standard
555,Matías Marín,cl CHI,"MF,FW",Belgrano,24,1999,4,2,165,1.8,0,1,1,0,0,0,1,0,0.0,0.55,0.55,0.0,0.55,Matches,e11f5921,standard
595,Lucas Menossi,ar ARG,MF,Belgrano,31,1992,12,4,510,5.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,428cb878,standard
597,Nicolás Meriano,ar ARG,DF,Belgrano,23,2000,8,6,474,5.3,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches,9b0cafc4,standard
641,Matias Moreno,ar ARG,DF,Belgrano,20,2003,7,6,513,5.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches,4637e608,standard
680,Máximo Oses,ar ARG,FW,Belgrano,18,2005,2,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,768f11ca,standard
755,Facundo Quignon,ar ARG,MF,Belgrano,30,1993,21,14,1352,15.0,1,2,3,1,0,0,5,0,0.07,0.13,0.2,0.07,0.2,Matches,5b33b84c,standard
767,Franco Rami,ar ARG,FW,Belgrano,20,2003,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,32c4b4b3,standard
783,Alejandro Rébola,ar ARG,DF,Belgrano,35,1988,18,17,1453,16.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,Matches,02dfa252,standard
790,Bryan Reyna,pe PER,"FW,MF",Belgrano,25,1998,18,8,845,9.4,3,4,7,3,0,0,3,0,0.32,0.43,0.75,0.32,0.75,Matches,f383829b,standard
818,Ariel Rojas,ar ARG,"DF,MF",Belgrano,38,1986,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,09773645,standard
824,Esteban Rolón,ar ARG,MF,Belgrano,28,1995,25,22,1627,18.1,1,1,2,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,Matches,10e25802,standard
919,Matías Suárez,ar ARG,FW,Belgrano,35,1988,17,6,645,7.2,2,0,2,2,0,0,0,0,0.28,0.0,0.28,0.28,0.28,Matches,e753aa9e,standard
926,Ignacio Tapia,ar ARG,MF,Belgrano,19,2004,2,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c4b560e4,standard
944,Mariano Troilo,ar ARG,DF,Belgrano,20,2003,21,16,1570,17.4,1,0,1,1,0,0,8,0,0.06,0.0,0.06,0.06,0.06,Matches,fa2c1419,standard
962,Juan Velazquez,ar ARG,MF,Belgrano,19,2004,26,22,1808,20.1,0,3,3,0,0,0,3,0,0.0,0.15,0.15,0.0,0.15,Matches,891b9bb8,standard
