Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Team ID
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,
Arg Juniors,32,25.0,56.3,27,297,2430,27.0,20,12,32,19,1,2,68,6,0.74,0.44,1.19,0.7,1.15,d01a653b
Atlé Tucumán,29,26.8,48.0,27,297,2430,27.0,28,20,48,26,2,4,57,3,1.04,0.74,1.78,0.96,1.7,42a1ab8b
Banfield,43,25.4,45.5,27,297,2430,27.0,21,14,35,18,3,6,74,6,0.78,0.52,1.3,0.67,1.19,06c1606c
Barracas Central,34,25.7,46.0,27,297,2430,27.0,15,10,25,14,1,1,58,2,0.56,0.37,0.93,0.52,0.89,1d89634b
Belgrano,35,27.9,48.5,27,297,2430,27.0,33,25,58,33,0,1,74,4,1.22,0.93,2.15,1.22,2.15,7765008b
Boca Juniors,39,27.2,56.2,27,297,2430,27.0,28,18,46,27,1,1,78,6,1.04,0.67,1.7,1.0,1.67,795ca75e
Cen. Córdoba–SdE,44,24.8,52.4,27,297,2430,27.0,28,21,49,25,3,4,58,4,1.04,0.78,1.81,0.93,1.7,9aa97c75
Defensa y Justicia,37,26.1,53.7,27,297,2430,27.0,25,21,46,24,1,1,76,6,0.93,0.78,1.7,0.89,1.67,a4570206
Deportivo Riestra,36,29.3,32.3,27,297,2430,27.0,26,14,40,23,3,4,66,5,0.96,0.52,1.48,0.85,1.37,b3d222b1
Estudiantes–LP,37,27.9,55.9,27,297,2430,27.0,35,23,58,32,3,5,66,1,1.3,0.85,2.15,1.19,2.04,df734df9
Gimnasia–LP,39,27.6,49.8,27,297,2430,27.0,20,13,33,17,3,3,65,7,0.74,0.48,1.22,0.63,1.11,950a95f2
Godoy Cruz,40,24.9,49.3,27,297,2430,27.0,31,18,49,29,2,3,59,1,1.15,0.67,1.81,1.07,1.74,ac9a09b4
Huracán,29,28.9,48.3,27,297,2430,27.0,26,15,41,23,3,3,63,3,0.96,0.56,1.52,0.85,1.41,1d3d37ae
Ind. Rivadavia,38,26.9,44.8,27,297,2430,27.0,22,19,41,20,2,3,67,3,0.81,0.7,1.52,0.74,1.44,8a9d5afa
Independiente,33,27.1,50.9,27,297,2430,27.0,24,16,40,21,3,4,90,6,0.89,0.59,1.48,0.78,1.37,40bb0ce9
Instituto,26,25.4,48.5,27,297,2430,27.0,31,24,55,29,2,3,62,4,1.15,0.89,2.04,1.07,1.96,e2f19203
Lanús,34,28.6,50.0,27,297,2430,27.0,28,22,50,27,1,1,52,6,1.04,0.81,1.85,1.0,1.81,11b6dba8
Newell's Old Boys,43,26.4,51.1,27,297,2430,27.0,21,13,34,18,3,5,77,3,0.78,0.48,1.26,0.67,1.15,9bf4eaf4
Platense,35,25.9,40.5,27,297,2430,27.0,20,12,32,16,4,5,72,4,0.74,0.44,1.19,0.59,1.04,3cbfa767
Racing Club,32,26.7,55.0,27,297,2430,27.0,41,21,62,38,3,5,63,2,1.52,0.78,2.3,1.41,2.19,8e20e13d
River Plate,37,28.0,65.0,27,297,2430,27.0,38,22,60,33,5,5,71,2,1.41,0.81,2.22,1.22,2.04,ef99c78c
Rosario Central,36,28.0,51.1,27,297,2430,27.0,26,20,46,23,3,5,90,2,0.96,0.74,1.7,0.85,1.59,87a920fa
San Lorenzo,38,25.7,53.3,27,297,2430,27.0,20,9,29,15,5,6,57,3,0.74,0.33,1.07,0.56,0.89,66da6009
Sarmiento–J,37,28.1,37.8,27,297,2430,27.0,17,13,30,15,2,2,65,2,0.63,0.48,1.11,0.56,1.04,e9ae80b7
Talleres–C,34,26.9,55.3,27,297,2430,27.0,34,27,61,32,2,2,71,4,1.26,1.0,2.26,1.19,2.19,ceda2145
Tigre,35,24.7,52.0,27,297,2430,27.0,25,20,45,23,2,2,49,1,0.93,0.74,1.67,0.85,1.59,0e92bf17
Unión,28,26.1,49.0,27,297,2430,27.0,25,16,41,22,3,3,64,4,0.93,0.59,1.52,0.81,1.41,5adc7e67
Vélez Sarsfield,33,26.5,53.6,27,297,2430,27.0,37,23,60,32,5,6,56,4,1.37,0.85,2.22,1.19,2.04,41c139b6
